geometry,category,handle,status,bedrijfstoestand,functie,subnettype,eigenaar,beheerder,datum_aanleg,netgekoppeld,bovengronds,asset_id,feature_id
POINT (5.6167888 51.3180188),OVLoverdrachtspunt,553E,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_3EC33F94-7B77-44EC-8693-007E84589A65
POINT (5.6167975 51.3180312),OVLoverdrachtspunt,554B,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_161E2A0C-2763-4771-9844-BD5D64941333
POINT (5.6165228 51.3175115),OVLoverdrachtspunt,5558,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_48435C6C-93CC-4604-AD9D-A4C8167F52FC
POINT (5.6157769 51.3173722),OVLoverdrachtspunt,5565,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_F89A2CFD-A6C3-4670-839F-715D4226D8AC
POINT (5.6131367 51.3188003),OVLoverdrachtspunt,5572,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_57D48C06-F17F-4844-8D48-70299EDA14D7
POINT (5.6133903 51.3183526),OVLoverdrachtspunt,557F,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_2F1A7D13-3026-4E8F-9E9B-65C9A286DC77
POINT (5.6133766 51.3183646),OVLoverdrachtspunt,558C,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_05567D09-8796-4166-AB2A-6C449BBFF81C
POINT (5.6103170 51.3189446),OVLoverdrachtspunt,5599,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_19F14EFB-3753-4799-9DDA-203D2701F78B
POINT (5.6107922 51.3172530),OVLoverdrachtspunt,55A6,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_CC7AA8FB-D32B-4A2A-9F7E-10F348A2389C
POINT (5.6106277 51.3162906),OVLoverdrachtspunt,55B3,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_85D82494-14F6-4A73-A114-DDC70F4B3B8B
POINT (5.6105310 51.3162848),OVLoverdrachtspunt,55C0,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_E78CA655-1253-43C5-AEDB-BF284353214D
POINT (5.6104213 51.3160693),OVLoverdrachtspunt,55CD,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_A5ECD7A5-FF47-41E6-B7D1-9EF05210FC3B
POINT (5.6104124 51.3160530),OVLoverdrachtspunt,55DA,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_3D62302B-E333-42F9-84EC-D1C5A8C2E7B0
POINT (5.6098285 51.3164798),OVLoverdrachtspunt,55E7,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_0D16ACB7-D6E6-4441-BB43-07EB274E2A4C
POINT (5.6097939 51.3163625),OVLoverdrachtspunt,55F4,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_47F4D831-914D-412E-9987-54A165138DB1
POINT (5.6128564 51.3165576),OVLoverdrachtspunt,5601,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_0ED2DAD8-F256-4CE9-9A39-490D5687BDBF
POINT (5.6128577 51.3165435),OVLoverdrachtspunt,560E,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_B766A26E-1D08-44B9-B00B-5B8640782CAE
POINT (5.6128602 51.3165172),OVLoverdrachtspunt,561B,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_83B6F19F-1708-4364-B43B-7917E080E037
POINT (5.6128612 51.3165031),OVLoverdrachtspunt,5628,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_E7AAEEDD-7E47-40B7-8357-E4D6395EF03C
POINT (5.6132161 51.3160348),OVLoverdrachtspunt,5635,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_AECE6963-EAF3-493F-9B71-371CF5ABA4C8
POINT (5.6099978 51.3159767),OVLoverdrachtspunt,5642,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_A00D4E01-82A1-4D0B-9D64-81C9AE30F8DE
POINT (5.6144518 51.3167356),OVLoverdrachtspunt,564F,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_ABA5AE3C-5711-4E0F-88DE-5EBB06C113D2
POINT (5.6157429 51.3162870),OVLoverdrachtspunt,565C,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_492EDABA-9282-493F-83EC-A7E7E6A6F8F7
POINT (5.6154027 51.3160294),OVLoverdrachtspunt,5669,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_8E93BBAE-F3C8-4050-94AB-EAA0A0C93B9C
POINT (5.6148627 51.3162820),OVLoverdrachtspunt,5676,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_44AA2C05-2D90-4D22-B4A7-BD3023D7DFE1
POINT (5.6144828 51.3160740),OVLoverdrachtspunt,5683,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_15FB79B9-693B-4ECB-9A0F-7F07FF1F93C0
POINT (5.6140070 51.3167736),OVLoverdrachtspunt,5690,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_0D1F97DF-5494-49AA-BA99-94BD9EEB2174
POINT (5.6141413 51.3160631),OVLoverdrachtspunt,569D,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_C675997E-5974-4E84-86B8-525BE4C64CF6
POINT (5.6136258 51.3160488),OVLoverdrachtspunt,56AA,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_3BF83E61-9FCF-47A1-BCAF-273266604B38
POINT (5.6166834 51.3170730),OVLoverdrachtspunt,56B7,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_0864C95B-8764-489A-8B7E-76D940806623
POINT (5.6163215 51.3170790),OVLoverdrachtspunt,56C4,BESTAAND,IN BEDRIJF,LICHTMAST,,Gemeente,Gemeente,,,,{00000000-0000-0000-0000-000000000000},_C88CEE67-CE03-45B0-B667-379B6E3CC6B3
